Team,Player,Tournaments,Games,Assists,Goals,Ds,Turnovers,Price,Games Played,Captain Score,Handler Score,Cutter Score,Defender Score,Possible injury flag
Auburn,T. Rieme,"Feasterns: W & M, UNCW, ECU, Ecu, UNC, App State","W & M, UNCW, ECU, Ecu, UNC, App State",13,9,11,22,22,6,99,59,51,99,FALSE
Auburn,K. Tybuc,"Feasterns: W & M, UNCW, ECU, Ecu, UNC, App State","W & M, UNCW, ECU, Ecu, UNC, App State",0,2,3,1,10,6,30,10,14,28,FALSE
Auburn,J. Given,"Feasterns: W & M, UNCW, ECU, Ecu, UNC, App State","W & M, UNCW, ECU, Ecu, UNC, App State",3,2,2,2,10,6,27,15,13,21,FALSE
Auburn,J. Reed,"Feasterns: W & M, UNCW, ECU, Ecu, UNC, App State","W & M, UNCW, ECU, Ecu, UNC, App State",20,8,9,17,25,6,114,78,54,92,FALSE
Auburn,R. Basse,"Feasterns: W & M, UNCW, ECU, Ecu, UNC, App State","W & M, UNCW, ECU, Ecu, UNC, App State",9,14,1,8,15,6,54,36,46,24,TRUE
Auburn,E. Amon,"Feasterns: W & M, UNCW, ECU, Ecu, UNC, App State","W & M, UNCW, ECU, Ecu, UNC, App State",10,3,0,4,10,6,27,29,15,9,FALSE
Auburn,G. King,"Feasterns: W & M, UNCW, ECU, Ecu, UNC, App State","W & M, UNCW, ECU, Ecu, UNC, App State",0,4,0,1,7,6,9,3,11,3,FALSE
Auburn,W. Apple,"Feasterns: W & M, UNCW, ECU, Ecu, UNC, App State","W & M, UNCW, ECU, Ecu, UNC, App State",0,0,0,4,3,6,-12,-4,-4,-4,FALSE
Auburn,E. Noel,"Feasterns: W & M, UNCW, ECU, Ecu, UNC, App State","W & M, UNCW, ECU, Ecu, UNC, App State",0,0,1,1,6,6,6,2,2,8,FALSE
Auburn,P. Pate,"Feasterns: W & M, UNCW, ECU, Ecu, UNC, App State","W & M, UNCW, ECU, Ecu, UNC, App State",1,2,0,6,4,6,-9,-1,1,-3,FALSE
Auburn,A. Kanji,"Feasterns: W & M, UNCW, ECU, Ecu, UNC, App State","W & M, UNCW, ECU, Ecu, UNC, App State",0,0,1,2,6,6,3,1,1,7,FALSE
Auburn,J. Evans,"Feasterns: W & M, UNCW, ECU, Ecu, UNC, App State","W & M, UNCW, ECU, Ecu, UNC, App State",1,3,4,6,10,6,30,12,16,34,FALSE
Auburn,J. Eudy,"Feasterns: UNCW, ECU, UNC","UNCW, ECU, UNC",0,1,0,2,5,3,-3,-1,1,-1,TRUE
Auburn,R. Clear,"Feasterns: UNCW, ECU, UNC, App State","UNCW, ECU, UNC, App State",0,0,0,0,5,4,0,0,0,0,FALSE
Auburn,C. Watso,,,0,0,0,0,5,0,0,0,0,0,FALSE
Auburn,B. Tisda,,,0,0,0,0,5,0,0,0,0,0,FALSE
Auburn,M. Musse,,,0,0,0,0,5,0,0,0,0,0,FALSE
Auburn,M. Blick,,,0,0,0,0,5,0,0,0,0,0,FALSE
Auburn,E. Green,,,0,0,0,0,5,0,0,0,0,0,FALSE
Auburn,H. James,,,0,0,0,0,5,0,0,0,0,0,FALSE
Alabama,Alex,"Fall Easterns: UNCW Alumni, App State, UNCW, Indiana, Emory","UNCW Alumni, App State, UNCW, Indiana, Emory",5,8,6,5,19,5,78,36,42,62,FALSE
Alabama,John P,"Fall Easterns: UNCW Alumni, App State, UNCW, Indiana, Emory","UNCW Alumni, App State, UNCW, Indiana, Emory",2,1,1,4,6,5,6,6,4,8,FALSE
Alabama,Conley,"Fall Easterns: UNCW Alumni, App State, UNCW, Indiana, Emory","UNCW Alumni, App State, UNCW, Indiana, Emory",6,2,2,14,5,5,0,12,4,12,FALSE
Alabama,Jackson,"Fall Easterns: UNCW Alumni, App State, UNCW, Indiana, Emory","UNCW Alumni, App State, UNCW, Indiana, Emory",4,2,2,2,10,5,30,18,14,22,FALSE
Alabama,Peter,"Fall Easterns: UNCW Alumni, App State, UNCW, Indiana, Emory","UNCW Alumni, App State, UNCW, Indiana, Emory",1,2,0,6,4,5,-9,-1,1,-3,FALSE
Alabama,Zac,"Fall Easterns: UNCW Alumni, App State, UNCW, Indiana, Emory","UNCW Alumni, App State, UNCW, Indiana, Emory",6,5,3,7,12,5,39,25,23,31,FALSE
Alabama,Arden,"Fall Easterns: UNCW Alumni, App State, UNCW, Indiana, Emory","UNCW Alumni, App State, UNCW, Indiana, Emory",3,5,2,8,8,5,18,12,16,18,FALSE
Alabama,Tanner,"Fall Easterns: UNCW Alumni, App State, UNCW, Indiana, Emory","UNCW Alumni, App State, UNCW, Indiana, Emory",1,4,1,4,7,5,12,6,12,10,FALSE
Alabama,Liam,"Fall Easterns: UNCW Alumni, App State, UNCW, Indiana, Emory","UNCW Alumni, App State, UNCW, Indiana, Emory",3,1,2,5,8,5,15,11,7,17,FALSE
Alabama,Cagle,"Fall Easterns: UNCW Alumni, App State, UNCW, Indiana, Emory","UNCW Alumni, App State, UNCW, Indiana, Emory",4,4,1,1,10,5,30,18,18,16,FALSE
Alabama,CJ,"Fall Easterns: UNCW Alumni, App State, UNCW, Indiana, Emory","UNCW Alumni, App State, UNCW, Indiana, Emory",6,9,4,4,17,5,69,35,41,47,FALSE
Alabama,Bryant,"Fall Easterns: UNCW Alumni, App State, UNCW, Indiana, Emory","UNCW Alumni, App State, UNCW, Indiana, Emory",2,1,3,1,11,5,33,15,13,29,FALSE
Alabama,Brady,"Fall Easterns: UNCW Alumni, Indiana","UNCW Alumni, Indiana",1,3,0,1,7,2,9,5,9,3,FALSE
Alabama,Ben,"Fall Easterns: UNCW Alumni, App State, UNCW, Indiana, Emory","UNCW Alumni, App State, UNCW, Indiana, Emory",11,2,5,9,15,5,57,41,23,49,FALSE
Alabama,Josh,"Fall Easterns: UNCW Alumni, App State, UNCW, Indiana, Emory","UNCW Alumni, App State, UNCW, Indiana, Emory",1,0,1,2,6,5,6,4,2,8,FALSE
Alabama,Carson,"Fall Easterns: UNCW Alumni, App State, UNCW, Indiana, Emory","UNCW Alumni, App State, UNCW, Indiana, Emory",0,2,0,0,6,5,6,2,6,2,FALSE
Alabama,Lachlan,,,0,0,0,0,5,0,0,0,0,0,FALSE
Alabama,Matthew,,,0,0,0,0,5,0,0,0,0,0,FALSE
Alabama,Weaver,,,0,0,0,0,5,0,0,0,0,0,FALSE
Alabama,Hagan,,,0,0,0,0,5,0,0,0,0,0,FALSE
